main_id,ra,dec,plx_value
"HD  42581d",92.64422889923625,-21.86462676470167,173.574
"HD  42581c",92.64422889923625,-21.86462676470167,173.574
"HD  42581b",92.64422889923625,-21.86462676470167,173.574
"HD  42581",92.64422889923625,-21.86462676470167,173.574
"* sig Dra",293.0899592077504,69.66117661255723,173.4939
"HD  42581B",92.645,-21.866666666666667,173.19
"Ross   47",85.53861536337459,12.489334676545553,172.6762
"HD 131977b",224.36666996615494,-21.41547979591945,169.8843
"HD 131977",224.36666996615494,-21.41547979591945,169.8843
"L  205-128",266.64263781037704,-57.31904401366557,169.8042
"GJ 570 D",224.312344,-21.363264,169.3
"L  347-14",290.1999346677496,-45.55823431625721,169.2351
"V* BR Psc",357.3021878550325,2.401223743581389,169.2163
"HD 180617b",289.23023570363335,5.1689001539355575,169.0615
"HD 180617",289.23023570363335,5.1689001539355575,169.0615
"CD-40  9712",233.05388462875788,-41.27559178719,168.9965
"VB 10",289.2400456449525,5.150444700948055,168.9537
"* eta Cas",12.276227476217503,57.81517728880999,168.8322
"HD 131976",224.3605554166666,-21.411549388888883,168.77
"* eta Cas B",12.271632750996249,57.81782624126639,168.7186
"*  36 Oph",258.8374330733334,-26.602821420833333,168.54
"*  36 Oph B",258.83743260923,-26.602825956905555,168.1303
"*  36 Oph A",258.8365985355513,-26.601699224429723,168.0031
"V* V2215 Oph",259.0556767257492,-26.54614904538722,167.9617
"HD 155876",258.03296559345796,45.66589324737053,167.29
"V* YZ CMi",116.16738460269337,3.5524653409927773,166.9769
"WISE J154151.65-225024.9",235.46787133333333,-22.840196111111116,166.9
"HD 191408",302.7997448709225,-36.10120881266862,166.3272
"* e Eri f",49.9818788009275,-43.069781996785,165.5242
"* e Eri g",49.9818788009275,-43.069781996785,165.5242
"* e Eri e",49.9818788009275,-43.069781996785,165.5242
"* e Eri b",49.9818788009275,-43.069781996785,165.5242
